material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9296,100000,9296,90704,0
Fuse,9357,100000,9357,90643,0
PCB,9296,100000,9296,90704,0
Top cover,9296,100000,9296,90704,0
