station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,28934.4,0.0,516416.0,22,0.057697,0.4156,1822.6,4385,0.055643,0.056029,,
2,Station 1.1: Bottom cover,28908.0,0.0,516358.6,22,0.057763,0.4159,1821.6,4380,0.055593,0.055984,,
3,Station 2: Drill station,85144.8,45.6,516465.4,8,0.011236,0.7695,6300.6,8188,0.163741,0.164875,,
4,Station 2.1: Drill station,6000.8,72.2,515297.2,8,0.142114,1.6724,965.0,577,0.01154,0.011647,,
5,Station 3: Robot cell,518944.8,95.0,519039.8,9,7.243889,2312.3037,4067342.2,1759,0.997978,1.0,,
6,Station 3.1: Robot cell,519621.6,135.0,519756.6,10,7.941643,2502.49,4416894.8,1765,0.999279,1.0,,
7,Station 3.2: Robot cell,518354.8,181.6,518536.4,8,6.103586,1957.6194,3439537.2,1757,0.996843,1.0,,
8,Station 3.3: Robot cell,518739.2,185.4,518924.6,8,6.646189,2105.0228,3700630.0,1758,0.997582,1.0,,
9,Station 3.4: Robot cell,518066.8,232.0,518298.8,7,5.039773,1625.0966,2860170.0,1760,0.996289,1.0,,
10,Station 4: Inspection,16249.8,377.6,519817.7,0,0.0,0.03,231.9,7738,0.03125,0.031283,,
11,Station 4.1: Inspection,2154.6,1834.0,517875.7,0,0.0,0.0037,3.8,1026,0.004143,0.004175,,
12,Station 5: Top cover,598.0,114641.5,501485.3,0,0.0,0.0,0.0,130,0.00115,0.001546,,
13,Station 5.1: Top cover,39716.4,510.7,519953.3,1,0.001506,0.1316,1136.3,8634,0.076378,0.07646,,
14,Station 6: Packaging,32.0,118013.3,434775.7,0,0.0,0.0,0.0,8,6.2e-05,0.000101,,
15,Station 6.1: Packaging,35024.0,554.3,519996.3,0,0.0,0.0024,21.3,8757,0.067354,0.067426,,
