station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,512866.7994,0.0,561908.6,34,0.893589,109.5311,507457.621,4633,0.910155,0.912723,,
2,Station 1.1: Bottom cover,512292.0223,0.0,561908.6,34,0.629717,79.2991,367710.0793,4637,0.909135,0.9117,,
3,Station 2: Drill station,546642.7293,151.2,562223.0,26,7.517361,1417.6071,4490979.3437,3168,0.970095,0.97255,,
4,Station 2.1: Drill station,541277.4309,191.2,562144.4,10,3.191688,674.9977,2095192.9651,3104,0.960573,0.963207,,
5,Station 2.2: Drill station,537719.6937,303.4,562198.4,18,2.042738,442.0541,1375672.392,3112,0.95426,0.956975,,
6,Station 3: Robot cell,546641.3034,367.0,562567.4,16,8.456701,2640.2851,5122153.0812,1940,0.970092,0.972325,,
7,Station 3.1: Robot cell,545269.3855,447.0,562635.4,6,2.805425,998.3155,1913770.8445,1917,0.967657,0.969905,,
8,Station 3.2: Robot cell,542124.8,599.2,562674.2,14,6.029106,1936.4608,3725750.5795,1924,0.962077,0.964506,,
9,Station 3.3: Robot cell,538810.4,603.8,562699.6,11,2.560503,908.5074,1734340.5754,1909,0.956195,0.958574,,
10,Station 3.4: Robot cell,533216.9264,800.6,562503.2,3,0.576514,316.3201,595314.5165,1882,0.946269,0.949287,,
11,Station 4: Inspection,540887.0238,649.6,562975.0,9,2.774125,384.5602,1801279.8518,4684,0.95988,0.961875,,
12,Station 4.1: Inspection,532610.8735,966.4,562890.8,7,0.961973,169.6532,780744.0366,4602,0.945193,0.947834,,
13,Station 5: Top cover,523752.2514,1300.2,563183.2,3,0.24853,88.9756,272443.2394,3062,0.929472,0.932138,,
14,Station 5.1: Top cover,534837.8871,1015.8,563220.4,6,0.515645,149.6946,468843.5997,3132,0.949145,0.951323,,
15,Station 5.2: Top cover,540646.3117,878.2,563260.8,7,1.42218,323.414,1026515.9404,3174,0.959453,0.96135,,
16,Station 6: Packaging,522832.9193,1448.8,563415.4,3,0.121781,52.5033,240570.1379,4582,0.927841,0.930363,,
17,Station 6.1: Packaging,533687.6039,1092.0,563494.2,8,0.446078,97.0816,455506.963,4692,0.947104,0.948943,,
