material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,1329,100000,1329,98671,0
Fuse,1342,100000,1342,98658,0
PCB,1329,100000,1329,98671,0
Top cover,1329,100000,1329,98671,0
