station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,32775.101,0.0,565502.4,22,0.077666,2.6749,12467.9383,4661,0.057747,0.057957,,
2,Station 1.1: Bottom cover,32604.2854,0.0,565495.8,22,0.079134,2.4465,11408.0518,4663,0.057447,0.057656,,
3,Station 2: Drill station,95171.0015,45.6,565610.8,44,0.18629,14.575,126511.2425,8680,0.167685,0.168276,,
4,Station 2.1: Drill station,8294.9299,72.2,565617.4,8,0.165625,6.4294,4114.8113,640,0.014615,0.014667,,
5,Station 3: Robot cell,556420.6625,95.0,567279.4,14,9.58998,3033.962,5934429.5814,1956,0.980375,0.981023,,
6,Station 3.1: Robot cell,556738.9023,135.0,567319.4,22,13.822449,4284.4418,8397506.023,1960,0.980936,0.981584,,
7,Station 3.2: Robot cell,554254.53,181.6,567028.0,11,2.749615,976.2952,1902799.2612,1949,0.976558,0.977786,,
8,Station 3.3: Robot cell,552391.9835,185.4,567031.8,7,3.51032,1202.5302,2330503.4529,1938,0.973277,0.9745,,
9,Station 3.4: Robot cell,553057.1972,232.0,567078.4,12,3.032491,1065.6785,2066350.6277,1939,0.974449,0.975674,,
10,Station 4: Inspection,19279.2957,377.6,567380.5,11,0.0156,2.0107,16369.0485,8141,0.033969,0.034002,,
11,Station 4.1: Inspection,3165.3235,1834.0,556295.6349,4,0.008591,2.0197,2350.9605,1164,0.005577,0.005709,,
12,Station 5: Top cover,716.0847,79127.7326,566711.5,0,0.0,2.7494,277.6896,101,0.001262,0.001469,,
13,Station 5.1: Top cover,43439.0256,510.7,567516.1,14,0.024009,1.4472,13321.0596,9205,0.076537,0.076611,,
14,Station 6: Packaging,32.0,78390.9326,88517.5326,0,0.0,0.0,0.0,8,5.6e-05,0.00316,,
15,Station 6.1: Packaging,38583.5608,554.3,567559.1,19,0.022158,1.7506,16275.2325,9297,0.067982,0.068048,,
