disruption_type,estimated_duration,station_id,efficiency_loss,start_time,end_time
Drill To Dull,4576.0,2,0.0,16188.0,19543.0
Bottom Cover Misaligned,1144.0,1.1,0.0,57944.0,58830.0
PLC Failure,1656.0,6.1,0.0,78676.0,80121.0
efficiency_loss,0.0,5.1,65.0,79799.0,80446.0
PLC Failure,1656.0,3.1,0.0,81434.0,82711.0
inspection_failure,0.0,,0.0,93322.0,
emergency_order,0.0,,0.0,101757.0,
Camera Dirty,1248.0,4.1,0.0,109886.0,110827.0
efficiency_loss,0.0,2,83.0,120239.0,120582.0
emergency_order,0.0,,0.0,125277.0,
inspection_failure,0.0,,0.0,125921.0,
emergency_order,0.0,,0.0,131669.0,
emergency_order,0.0,,0.0,136611.0,
efficiency_loss,0.0,4,26.0,139420.0,139756.0
emergency_order,0.0,,0.0,143223.0,
inspection_failure,0.0,,0.0,155386.0,
Cover Wrong Orientation,4368.0,3.1,0.0,157100.0,160204.0
PLC Failure,1656.0,1,0.0,176157.0,177489.0
Top Cover Stuck,1196.0,5.1,0.0,176818.0,177871.0
emergency_order,0.0,,0.0,177561.0,
Misaligned Material,5220.0,3,0.0,178501.0,181691.0
emergency_order,0.0,,0.0,200488.0,
efficiency_loss,0.0,5.1,36.0,227432.0,228181.0
emergency_order,0.0,,0.0,228487.0,
emergency_order,0.0,,0.0,257454.0,
Bottom Cover Misaligned,1144.0,1,0.0,257467.0,258290.0
efficiency_loss,0.0,2.1,31.0,257753.0,258099.0
emergency_order,0.0,,0.0,270098.0,
PLC Failure,1656.0,4,0.0,272930.0,274417.0
emergency_order,0.0,,0.0,277689.0,
PLC Failure,1656.0,2,0.0,280372.0,281912.0
emergency_order,0.0,,0.0,298677.0,
emergency_order,0.0,,0.0,299234.0,
efficiency_loss,0.0,1,12.0,307889.0,308408.0
Misaligned Material,5220.0,3.3,0.0,319728.0,323667.0
emergency_order,0.0,,0.0,321029.0,
efficiency_loss,0.0,1.1,66.0,346495.0,347000.0
emergency_order,0.0,,0.0,357557.0,
efficiency_loss,0.0,6,11.0,361520.0,361743.0
emergency_order,0.0,,0.0,376040.0,
Top Cover Misaligned,1144.0,5,0.0,376661.0,377521.0
Bottom Cover Stuck,1196.0,1.1,0.0,391471.0,392480.0
efficiency_loss,0.0,4,55.0,398295.0,398705.0
emergency_order,0.0,,0.0,402894.0,
Camera Dirty,1248.0,4,0.0,429983.0,430733.0
Top Cover Stuck,1196.0,5,0.0,443294.0,444331.0
Top Cover Stuck,1196.0,5,0.0,451836.0,452853.0
efficiency_loss,0.0,5,51.0,479624.0,480376.0
Cover Wrong Orientation,4368.0,3.4,0.0,486128.0,490381.0
emergency_order,0.0,,0.0,503043.0,
Misaligned Material,5220.0,3.2,0.0,510199.0,514223.0
inspection_failure,0.0,,0.0,526515.0,
efficiency_loss,0.0,6.1,45.0,538954.0,539147.0
Bottom Cover Stuck,1196.0,1,0.0,542715.0,543673.0
Drill To Dull,4576.0,2.1,0.0,546684.0,550350.0
efficiency_loss,0.0,4.1,44.0,554647.0,554894.0
efficiency_loss,0.0,4.1,41.0,563621.0,563951.0
emergency_order,0.0,,0.0,565410.0,
Top Cover Misaligned,1144.0,5.1,0.0,565759.0,566723.0
