unit_seq,order_id,unit_id,variant,route_id
115,75,U1865,FUSE0,p:1.1.2.2.2.2
116,75,U1866,FUSE0,p:2.1.1.2.2.2
117,75,U1867,FUSE0,p:1.1.4.1.2.2
118,75,U1868,FUSE0,p:2.1.3.1.2.2
119,75,U1869,FUSE1,p:1.1.5.1.2.2
120,75,U1870,FUSE1,p:2.1.1.2.2.2
121,75,U1871,FUSE1,p:1.1.2.2.2.2
122,75,U1872,FUSE1,p:2.1.4.1.2.2
123,75,U1873,FUSE1,p:1.1.3.1.2.2
124,75,U1874,FUSE1,p:2.1.5.1.2.2
125,75,U1875,FUSE1,p:1.2.2.2.2.2
126,75,U1876,FUSE1,p:2.1.1.2.2.2
127,75,U1877,FUSE1,p:1.1.4.1.2.2
128,75,U1878,FUSE2,p:2.1.3.1.2.2
129,75,U1879,FUSE2,p:1.1.5.1.2.2
130,75,U1880,FUSE2,p:2.1.2.2.2.2
131,75,U1881,FUSE2,p:1.1.1.2.2.2
132,75,U1882,FUSE2,p:2.1.4.1.2.2
133,75,U1883,FUSE2,p:1.1.3.1.2.2
134,75,U1884,FUSE2,p:2.1.5.1.2.2
135,75,U1885,FUSE2,p:1.2.2.2.2.2
136,75,U1886,FUSE2,p:2.1.1.2.2.2
137,75,U1887,FUSE2,p:1.2.4.1.2.2
138,309,U7734,FUSE0,p:2.1.3.1.2.2
139,309,U7735,FUSE0,p:1.1.5.1.2.2
140,309,U7736,FUSE0,p:2.1.2.2.2.2
141,309,U7737,FUSE0,p:1.1.1.2.2.2
142,309,U7738,FUSE0,p:2.1.3.1.2.2
143,309,U7739,FUSE0,p:1.1.4.1.2.2
144,309,U7740,FUSE0,p:2.1.5.1.2.2
145,309,U7741,FUSE0,p:1.2.2.2.2.2
146,309,U7742,FUSE1,p:2.1.1.2.2.2
147,309,U7743,FUSE1,p:1.1.3.1.2.2
148,309,U7744,FUSE1,p:2.1.4.1.2.2
149,309,U7745,FUSE1,p:1.1.5.1.2.2
150,309,U7746,FUSE1,p:2.1.2.2.2.2
151,309,U7747,FUSE1,p:1.2.1.2.2.2
152,309,U7748,FUSE1,p:2.1.3.1.2.2
153,309,U7749,FUSE1,p:1.1.4.1.2.2
154,309,U7750,FUSE2,p:2.1.5.1.2.2
155,309,U7751,FUSE2,p:1.2.2.2.2.2
156,309,U7752,FUSE2,p:2.1.1.1.2.2
157,309,U7753,FUSE2,p:1.1.3.1.2.2
158,309,U7754,FUSE2,p:2.1.4.1.2.2
159,309,U7755,FUSE2,p:1.1.5.1.2.2
160,309,U7756,FUSE2,p:2.1.2.2.2.2
161,309,U7757,FUSE2,p:1.1.1.1.2.2
162,12,U280,FUSE0,p:2.1.3.1.2.2
163,12,U281,FUSE0,p:1.1.4.1.2.2
164,12,U282,FUSE0,p:2.1.5.1.2.2
165,12,U283,FUSE0,p:1.1.2.2.2.2
166,12,U284,FUSE0,p:2.1.3.1.2.2
167,12,U285,FUSE0,p:1.1.4.1.2.2
168,12,U286,FUSE0,p:2.1.1.1.2.2
169,12,U287,FUSE0,p:1.1.5.1.2.2
170,12,U288,FUSE0,p:2.1.2.2.2.2
171,12,U289,FUSE0,p:1.1.3.1.2.2
172,12,U290,FUSE1,p:2.1.4.1.2.2
173,12,U291,FUSE1,p:1.1.1.1.2.2
174,12,U292,FUSE1,p:2.1.5.1.2.2
175,12,U293,FUSE1,p:1.1.2.2.2.2
176,12,U294,FUSE1,p:2.1.3.1.2.2
177,12,U295,FUSE1,p:1.1.4.1.2.2
178,12,U296,FUSE1,p:2.1.1.1.2.2
179,12,U297,FUSE1,p:1.1.5.1.2.2
180,12,U298,FUSE1,p:2.1.2.2.2.2
181,12,U299,FUSE1,p:1.2.3.1.2.2
182,12,U300,FUSE2,p:2.1.4.1.2.2
183,12,U301,FUSE2,p:1.2.1.1.2.2
184,12,U302,FUSE2,p:2.1.5.1.2.2
185,12,U303,FUSE2,p:1.1.2.2.2.2
186,12,U304,FUSE2,p:2.1.3.1.2.2
187,12,U305,FUSE2,p:1.1.4.1.2.2
188,12,U306,FUSE2,p:2.1.1.1.2.2
189,12,U307,FUSE2,p:1.1.5.1.2.2
190,12,U308,FUSE2,p:2.1.2.2.2.2
191,277,U6927,FUSE0,p:1.2.3.1.2.2
192,277,U6928,FUSE0,p:2.1.4.1.2.2
193,277,U6929,FUSE0,p:1.1.1.1.2.2
194,277,U6930,FUSE0,p:2.1.3.1.2.2
195,277,U6931,FUSE0,p:1.1.5.1.2.2
196,277,U6932,FUSE0,p:2.1.2.2.2.2
197,277,U6933,FUSE0,p:1.1.4.1.2.2
198,277,U6934,FUSE0,p:2.1.1.1.2.2
199,277,U6935,FUSE1,p:1.1.3.1.2.2
200,277,U6936,FUSE1,p:2.1.5.1.2.2
201,277,U6937,FUSE1,p:1.2.2.2.2.2
202,277,U6938,FUSE1,p:2.1.4.1.2.2
203,277,U6939,FUSE1,p:1.1.1.1.2.2
204,277,U6940,FUSE1,p:2.1.3.1.2.2
205,277,U6941,FUSE1,p:1.1.5.1.2.2
206,277,U6942,FUSE1,p:2.1.2.2.2.2
207,277,U6943,FUSE2,p:1.1.4.1.2.2
208,277,U6944,FUSE2,p:2.1.1.1.2.2
209,277,U6945,FUSE2,p:1.1.3.1.2.2
210,277,U6946,FUSE2,p:2.1.5.1.2.2
211,277,U6947,FUSE2,p:1.1.2.2.2.2
212,277,U6948,FUSE2,p:2.1.4.1.2.2
213,277,U6949,FUSE2,p:1.2.1.1.2.2
214,277,U6950,FUSE2,p:2.1.3.1.2.2
215,57,U1400,FUSE0,p:1.1.5.1.2.2
216,57,U1401,FUSE0,p:2.1.2.2.2.2
217,57,U1402,FUSE0,p:1.1.4.1.2.2
218,57,U1403,FUSE0,p:2.1.1.1.2.2
219,57,U1404,FUSE0,p:1.1.5.1.2.2
220,57,U1405,FUSE0,p:2.1.3.1.2.2
221,57,U1406,FUSE0,p:1.1.2.2.2.2
222,57,U1407,FUSE0,p:2.1.4.1.2.2
223,57,U1408,FUSE0,p:1.1.1.1.2.2
224,57,U1409,FUSE1,p:2.1.5.1.2.2
225,57,U1410,FUSE1,p:1.1.2.2.2.2
226,57,U1411,FUSE1,p:2.1.3.1.2.2
227,57,U1412,FUSE1,p:1.1.4.1.2.2
228,57,U1413,FUSE1,p:2.1.1.1.2.2
229,57,U1414,FUSE1,p:1.1.5.1.2.2
230,57,U1415,FUSE1,p:2.1.2.2.2.2
231,57,U1416,FUSE1,p:1.2.3.1.2.2
232,57,U1417,FUSE2,p:2.1.4.1.2.2
233,57,U1418,FUSE2,p:1.2.1.1.2.2
234,57,U1419,FUSE2,p:2.1.5.1.2.2
235,57,U1420,FUSE2,p:1.1.2.2.2.2
236,57,U1421,FUSE2,p:2.1.3.1.2.2
237,57,U1422,FUSE2,p:1.1.4.1.2.2
238,57,U1423,FUSE2,p:2.1.1.1.2.2
239,57,U1424,FUSE2,p:1.1.5.1.2.2
240,57,U1425,FUSE2,p:2.1.2.2.2.2
241,164,U4087,FUSE0,p:1.2.3.1.2.2
242,164,U4088,FUSE0,p:2.1.4.1.2.2
243,164,U4089,FUSE0,p:1.1.1.1.2.2
244,164,U4090,FUSE0,p:2.1.3.1.2.2
245,164,U4091,FUSE0,p:1.1.5.1.2.2
246,164,U4092,FUSE0,p:2.1.2.2.2.2
247,164,U4093,FUSE0,p:1.2.4.1.2.2
248,164,U4094,FUSE0,p:2.1.1.1.2.2
249,164,U4095,FUSE0,p:1.1.3.1.2.2
250,164,U4096,FUSE1,p:2.1.5.1.2.2
251,164,U4097,FUSE1,p:1.2.2.2.2.2
252,164,U4098,FUSE1,p:2.1.4.1.2.2
