material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9277,100000,9277,90723,0
Fuse,9355,100000,9355,90645,0
PCB,9277,100000,9277,90723,0
Top cover,9277,100000,9277,90723,0
