material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,9234,100000,9234,90766,0
Fuse,9304,100000,9304,90696,0
PCB,9234,100000,9234,90766,0
Top cover,9234,100000,9234,90766,0
