station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,524404.0804,0.0,557411.8411,34,0.877319,109.1134,517633.8633,4744,0.931671,0.940784,,
2,Station 1.1: Bottom cover,523193.5998,0.0,557415.8411,34,0.660684,83.3602,394793.8572,4736,0.92952,0.938606,,
3,Station 2: Drill station,552840.0799,151.2,558243.8513,26,3.903678,789.6918,2533331.3125,3208,0.982191,0.990588,,
4,Station 2.1: Drill station,552525.3394,191.2,558311.4513,23,4.631563,917.1508,2934882.5632,3200,0.981632,0.989975,,
5,Station 2.2: Drill station,550175.5595,303.4,558202.4714,21,2.652965,558.788,1780857.5142,3187,0.977457,0.986156,,
6,Station 3: Robot cell,552263.6,367.0,559148.2992,4,0.966412,432.9758,850797.5323,1965,0.981167,0.988336,,
7,Station 3.1: Robot cell,551896.8,447.0,559525.8992,5,1.225,507.6841,995060.9263,1960,0.980515,0.987154,,
8,Station 3.2: Robot cell,556594.4665,599.2,562166.7272,16,4.613068,1552.1472,3040656.4524,1959,0.988861,0.991144,,
9,Station 3.3: Robot cell,553150.9156,603.8,558788.6714,13,1.926343,730.2008,1427542.5253,1955,0.982743,0.990982,,
10,Station 3.4: Robot cell,551123.5947,800.6,558788.8513,10,1.322746,545.6293,1065068.4262,1952,0.979141,0.987697,,
11,Station 4: Inspection,551023.8494,649.6,562025.3272,15,2.937631,407.8455,1942160.3777,4762,0.978964,0.98156,,
12,Station 4.1: Inspection,547774.554,966.4,562383.3272,16,2.284779,329.7378,1561967.8724,4737,0.973191,0.9757,,
13,Station 5: Top cover,542606.678,1300.2,562013.1272,11,2.442803,518.1559,1648771.9706,3182,0.96401,0.967709,,
14,Station 5.1: Top cover,542680.6503,1015.8,562669.1272,11,2.221422,477.6305,1525074.1222,3193,0.964141,0.96622,,
15,Station 5.2: Top cover,548512.3394,878.2,562311.1272,19,5.835202,1118.847,3591498.9948,3210,0.974502,0.976986,,
16,Station 6: Packaging,539080.7114,1448.8,562864.1272,6,1.064414,181.5105,859452.3212,4735,0.957746,0.960217,,
17,Station 6.1: Packaging,540926.8105,1092.0,562466.1272,13,1.366646,218.3974,1035858.8488,4743,0.961026,0.963576,,
