kpi_name,value
total_units_ordered,8764
produced_units_fuse0,2902
produced_units_fuse1,2898
produced_units_fuse2,2964
makespan_seconds,519472.7
average_cycle_time_seconds,59.2165
cycle_time_from_1_over_throughput_rate_seconds,59.2735
throughput_rate_per_second,0.016871
throughput_rate_per_hour,60.7354
average_throughput_time_seconds,916.1502
average_active_throughput_time_seconds,916.1502
average_throughput_efficiency,0.354765
total_wait_time_seconds,1861241.4
average_cycle_time_seconds_fuse0,178.367
Active_average_cycle_time_seconds_fuse0,158.8499
global_average_cycle_time_seconds_fuse0,158.8499
average_cycle_time_seconds_fuse1,178.6668
Active_average_cycle_time_seconds_fuse1,158.6453
global_average_cycle_time_seconds_fuse1,158.6453
average_cycle_time_seconds_fuse2,174.8117
Active_average_cycle_time_seconds_fuse2,165.5917
global_average_cycle_time_seconds_fuse2,165.5917
utilization_overall_station_1_bottom_cover,0.055674
utilization_active_window_station_1_bottom_cover,0.055795
max_queue_station_1_bottom_cover,6
average_queue_station_1_bottom_cover,0.004792
average_wait_station_1_bottom_cover_seconds,0.0422
availability_station_1_bottom_cover,1.0
utilization_overall_station_1_1_bottom_cover,0.055674
utilization_active_window_station_1_1_bottom_cover,0.05579
max_queue_station_1_1_bottom_cover,6
average_queue_station_1_1_bottom_cover,0.004792
average_wait_station_1_1_bottom_cover_seconds,0.0422
availability_station_1_1_bottom_cover,1.0
utilization_overall_station_2_drill_station,0.164086
utilization_active_window_station_2_drill_station,0.164421
max_queue_station_2_drill_station,2
average_queue_station_2_drill_station,0.000854
average_wait_station_2_drill_station_seconds,0.5344
availability_station_2_drill_station,1.0
utilization_overall_station_2_1_drill_station,0.011372
utilization_active_window_station_2_1_drill_station,0.011457
max_queue_station_2_1_drill_station,2
average_queue_station_2_1_drill_station,0.008803
average_wait_station_2_1_drill_station_seconds,0.1415
availability_station_2_1_drill_station,1.0
utilization_overall_station_3_robot_cell,0.998778
utilization_active_window_station_3_robot_cell,1.0
max_queue_station_3_robot_cell,2
average_queue_station_3_robot_cell,0.192
average_wait_station_3_robot_cell_seconds,254.5461
availability_station_3_robot_cell,1.0
utilization_overall_station_3_1_robot_cell,0.999079
utilization_active_window_station_3_1_robot_cell,1.0
max_queue_station_3_1_robot_cell,1
average_queue_station_3_1_robot_cell,0.144571
average_wait_station_3_1_robot_cell_seconds,232.5752
availability_station_3_1_robot_cell,1.0
utilization_overall_station_3_2_robot_cell,0.998795
utilization_active_window_station_3_2_robot_cell,1.0
max_queue_station_3_2_robot_cell,1
average_queue_station_3_2_robot_cell,0.08708
average_wait_station_3_2_robot_cell_seconds,205.1212
availability_station_3_2_robot_cell,1.0
utilization_overall_station_3_3_robot_cell,0.999105
utilization_active_window_station_3_3_robot_cell,1.0
max_queue_station_3_3_robot_cell,1
average_queue_station_3_3_robot_cell,0.071185
average_wait_station_3_3_robot_cell_seconds,192.6429
availability_station_3_3_robot_cell,1.0
utilization_overall_station_3_4_robot_cell,0.998515
utilization_active_window_station_3_4_robot_cell,0.999989
max_queue_station_3_4_robot_cell,1
average_queue_station_3_4_robot_cell,0.032553
average_wait_station_3_4_robot_cell_seconds,173.6605
availability_station_3_4_robot_cell,1.0
utilization_overall_station_4_inspection,0.031233
utilization_active_window_station_4_inspection,0.031266
max_queue_station_4_inspection,0
average_queue_station_4_inspection,0.0
average_wait_station_4_inspection_seconds,0.0215
availability_station_4_inspection,1.0
utilization_overall_station_4_1_inspection,0.004196
utilization_active_window_station_4_1_inspection,0.004273
max_queue_station_4_1_inspection,0
average_queue_station_4_1_inspection,0.0
average_wait_station_4_1_inspection_seconds,0.0032
availability_station_4_1_inspection,1.0
utilization_overall_station_5_top_cover,0.000753
utilization_active_window_station_5_top_cover,0.000958
max_queue_station_5_top_cover,0
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,0.0
availability_station_5_top_cover,1.0
utilization_overall_station_5_1_top_cover,0.076854
utilization_active_window_station_5_1_top_cover,0.076936
max_queue_station_5_1_top_cover,1
average_queue_station_5_1_top_cover,0.001152
average_wait_station_5_1_top_cover_seconds,0.1164
availability_station_5_1_top_cover,1.0
utilization_overall_station_6_packaging,0.000108
utilization_active_window_station_6_packaging,0.000232
max_queue_station_6_packaging,0
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,0.0
availability_station_6_packaging,1.0
utilization_overall_station_6_1_packaging,0.067376
utilization_active_window_station_6_1_packaging,0.067448
max_queue_station_6_1_packaging,0
average_queue_station_6_1_packaging,0.0
average_wait_station_6_1_packaging_seconds,0.0012
availability_station_6_1_packaging,1.0
order_qty_fuse0,2902
order_qty_fuse1,2898
order_qty_fuse2,2964
total fitness,-8.935163596343044
