material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,8764,100000,8764,91236,0
Fuse,8840,100000,8840,91160,0
PCB,8764,100000,8764,91236,0
Top cover,8764,100000,8764,91236,0
