station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,31746.1532,0.0,563535.8,22,0.074688,1.5349,7131.3364,4646,0.056137,0.056334,,
2,Station 1.1: Bottom cover,32570.4881,0.0,563529.2,22,0.08,2.4919,11587.4532,4650,0.057595,0.057797,,
3,Station 2: Drill station,93829.5513,45.6,563640.4,46,0.176092,13.2513,115286.4544,8700,0.16592,0.166484,,
4,Station 2.1: Drill station,8042.6541,72.2,563647.0,8,0.173913,10.9677,6558.7009,598,0.014222,0.014271,,
5,Station 3: Robot cell,556334.4936,95.0,564981.4,16,7.64473,2476.2083,4816225.066,1945,0.98377,0.984861,,
6,Station 3.1: Robot cell,553743.6984,135.0,565021.4,9,4.676622,1559.154,3027877.0363,1942,0.979189,0.980274,,
7,Station 3.2: Robot cell,553312.6254,181.6,565100.4,12,5.175926,1695.097,3295268.6124,1944,0.978427,0.979455,,
8,Station 3.3: Robot cell,552141.7872,185.4,565166.2,9,3.536321,1208.0261,2344778.564,1941,0.976356,0.977275,,
9,Station 3.4: Robot cell,553381.9268,232.0,565212.8,20,11.712152,3647.5539,7083549.589,1942,0.978549,0.97947,,
10,Station 4: Inspection,17715.4619,377.6,565333.9,9,0.005723,0.6509,5231.7618,8038,0.031326,0.031357,,
11,Station 4.1: Inspection,3596.7532,4682.4,555131.9073,2,0.002402,1.7314,2162.5202,1249,0.00636,0.006534,,
12,Station 5: Top cover,1352.7769,17149.1,401707.0076,1,0.016129,11.1802,1386.3386,124,0.002392,0.003518,,
13,Station 5.1: Top cover,46553.5143,510.7,565469.5,24,0.072559,5.1229,46951.7885,9165,0.082321,0.082402,,
14,Station 6: Packaging,56.0,42817.7039,300375.2307,0,0.0,0.0,0.0,14,9.9e-05,0.000217,,
15,Station 6.1: Packaging,37067.3548,554.3,565512.5,0,0.0,0.0028,25.6437,9269,0.065546,0.065611,,
