station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,28934.4,0.0,516417.2,22,0.057697,0.4159,1823.8,4385,0.055677,0.056029,,
2,Station 1.1: Bottom cover,28908.0,0.0,516582.0,22,0.057749,0.4174,1828.8,4381,0.055626,0.05596,,
3,Station 2: Drill station,84708.0,45.6,516651.4,8,0.011417,0.8152,6640.5,8146,0.162999,0.16397,,
4,Station 2.1: Drill station,6437.6,72.2,516486.6,8,0.132258,1.56,967.2,620,0.012388,0.012466,,
5,Station 3: Robot cell,518721.6,95.0,518816.6,8,6.542258,2107.0146,3714666.8,1763,0.998148,1.0,,
6,Station 3.1: Robot cell,519309.6,135.0,519444.6,9,7.206818,2280.8955,4014376.1,1760,0.999279,1.0,,
7,Station 3.2: Robot cell,518871.6,181.6,519053.2,8,6.502844,2070.5711,3640064.0,1758,0.998436,1.0,,
8,Station 3.3: Robot cell,518378.8,185.4,518564.2,7,5.52164,1780.7798,3127049.4,1756,0.997488,1.0,,
9,Station 3.4: Robot cell,519106.4,232.0,519338.4,9,7.244608,2263.4085,3988125.8,1762,0.998888,1.0,,
10,Station 4: Inspection,15886.5,377.6,519505.7,1,0.000264,0.0374,282.7,7565,0.03057,0.030602,,
11,Station 4.1: Inspection,2517.9,4682.4,517590.5,0,0.0,0.0123,14.7,1199,0.004845,0.004909,,
12,Station 5: Top cover,690.0,25409.9,517482.5,0,0.0,0.0,0.0,150,0.001328,0.001402,,
13,Station 5.1: Top cover,39624.4,510.7,519641.3,1,0.001857,0.1478,1273.0,8614,0.076247,0.076328,,
14,Station 6: Packaging,84.0,122288.3,517548.9,0,0.0,0.0,0.0,21,0.000162,0.000213,,
15,Station 6.1: Packaging,34972.0,554.3,519684.3,0,0.0,0.0031,26.8,8743,0.067295,0.067367,,
