kpi_name,value
total_units_ordered,8764
produced_units_fuse0,2902
produced_units_fuse1,2898
produced_units_fuse2,2964
makespan_seconds,519684.3
average_cycle_time_seconds,59.2407
cycle_time_from_1_over_throughput_rate_seconds,59.2976
throughput_rate_per_second,0.016864
throughput_rate_per_hour,60.7107
average_throughput_time_seconds,2805.8522
average_active_throughput_time_seconds,2805.8522
average_throughput_efficiency,0.116619
total_wait_time_seconds,18497139.6
average_cycle_time_seconds_fuse0,178.5036
Active_average_cycle_time_seconds_fuse0,165.2397
global_average_cycle_time_seconds_fuse0,165.2397
average_cycle_time_seconds_fuse1,178.8036
Active_average_cycle_time_seconds_fuse1,170.753
global_average_cycle_time_seconds_fuse1,170.753
average_cycle_time_seconds_fuse2,174.8832
Active_average_cycle_time_seconds_fuse2,169.5644
global_average_cycle_time_seconds_fuse2,169.5644
utilization_overall_station_1_bottom_cover,0.055677
utilization_active_window_station_1_bottom_cover,0.056029
max_queue_station_1_bottom_cover,22
average_queue_station_1_bottom_cover,0.057697
average_wait_station_1_bottom_cover_seconds,0.4159
availability_station_1_bottom_cover,1.0
utilization_overall_station_1_1_bottom_cover,0.055626
utilization_active_window_station_1_1_bottom_cover,0.05596
max_queue_station_1_1_bottom_cover,22
average_queue_station_1_1_bottom_cover,0.057749
average_wait_station_1_1_bottom_cover_seconds,0.4174
availability_station_1_1_bottom_cover,1.0
utilization_overall_station_2_drill_station,0.162999
utilization_active_window_station_2_drill_station,0.16397
max_queue_station_2_drill_station,8
average_queue_station_2_drill_station,0.011417
average_wait_station_2_drill_station_seconds,0.8152
availability_station_2_drill_station,1.0
utilization_overall_station_2_1_drill_station,0.012388
utilization_active_window_station_2_1_drill_station,0.012466
max_queue_station_2_1_drill_station,8
average_queue_station_2_1_drill_station,0.132258
average_wait_station_2_1_drill_station_seconds,1.56
availability_station_2_1_drill_station,1.0
utilization_overall_station_3_robot_cell,0.998148
utilization_active_window_station_3_robot_cell,1.0
max_queue_station_3_robot_cell,8
average_queue_station_3_robot_cell,6.542258
average_wait_station_3_robot_cell_seconds,2107.0146
availability_station_3_robot_cell,1.0
utilization_overall_station_3_1_robot_cell,0.999279
utilization_active_window_station_3_1_robot_cell,1.0
max_queue_station_3_1_robot_cell,9
average_queue_station_3_1_robot_cell,7.206818
average_wait_station_3_1_robot_cell_seconds,2280.8955
availability_station_3_1_robot_cell,1.0
utilization_overall_station_3_2_robot_cell,0.998436
utilization_active_window_station_3_2_robot_cell,1.0
max_queue_station_3_2_robot_cell,8
average_queue_station_3_2_robot_cell,6.502844
average_wait_station_3_2_robot_cell_seconds,2070.5711
availability_station_3_2_robot_cell,1.0
utilization_overall_station_3_3_robot_cell,0.997488
utilization_active_window_station_3_3_robot_cell,1.0
max_queue_station_3_3_robot_cell,7
average_queue_station_3_3_robot_cell,5.52164
average_wait_station_3_3_robot_cell_seconds,1780.7798
availability_station_3_3_robot_cell,1.0
utilization_overall_station_3_4_robot_cell,0.998888
utilization_active_window_station_3_4_robot_cell,1.0
max_queue_station_3_4_robot_cell,9
average_queue_station_3_4_robot_cell,7.244608
average_wait_station_3_4_robot_cell_seconds,2263.4085
availability_station_3_4_robot_cell,1.0
utilization_overall_station_4_inspection,0.03057
utilization_active_window_station_4_inspection,0.030602
max_queue_station_4_inspection,1
average_queue_station_4_inspection,0.000264
average_wait_station_4_inspection_seconds,0.0374
availability_station_4_inspection,1.0
utilization_overall_station_4_1_inspection,0.004845
utilization_active_window_station_4_1_inspection,0.004909
max_queue_station_4_1_inspection,0
average_queue_station_4_1_inspection,0.0
average_wait_station_4_1_inspection_seconds,0.0123
availability_station_4_1_inspection,1.0
utilization_overall_station_5_top_cover,0.001328
utilization_active_window_station_5_top_cover,0.001402
max_queue_station_5_top_cover,0
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,0.0
availability_station_5_top_cover,1.0
utilization_overall_station_5_1_top_cover,0.076247
utilization_active_window_station_5_1_top_cover,0.076328
max_queue_station_5_1_top_cover,1
average_queue_station_5_1_top_cover,0.001857
average_wait_station_5_1_top_cover_seconds,0.1478
availability_station_5_1_top_cover,1.0
utilization_overall_station_6_packaging,0.000162
utilization_active_window_station_6_packaging,0.000213
max_queue_station_6_packaging,0
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,0.0
availability_station_6_packaging,1.0
utilization_overall_station_6_1_packaging,0.067295
utilization_active_window_station_6_1_packaging,0.067367
max_queue_station_6_1_packaging,0
average_queue_station_6_1_packaging,0.0
average_wait_station_6_1_packaging_seconds,0.0031
availability_station_6_1_packaging,1.0
order_qty_fuse0,2902
order_qty_fuse1,2898
order_qty_fuse2,2964
