material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,1310,100000,1310,98690,0
Fuse,1320,100000,1320,98680,0
PCB,1310,100000,1310,98690,0
Top cover,1310,100000,1310,98690,0
