disruption_type,estimated_duration,station_id,efficiency_loss,start_time,end_time
Top Cover Stuck,2392.0,5,0.0,127.0,2147.0
emergency_order,0.0,,0.0,2956.0,
inspection_failure,0.0,,0.0,3311.0,
PLC Failure,3312.0,2,0.0,4429.0,7342.0
emergency_order,0.0,,0.0,29706.0,
efficiency_loss,0.0,4.1,59.0,38550.0,39346.0
emergency_order,0.0,,0.0,43459.0,
PLC Failure,3312.0,3.4,0.0,45539.0,48611.0
Drill To Dull,9152.0,2,0.0,46954.0,53130.0
emergency_order,0.0,,0.0,74953.0,
Bottom Cover Misaligned,2288.0,1.1,0.0,75522.0,77361.0
PLC Failure,3312.0,6.1,0.0,81615.0,84433.0
Top Cover Misaligned,2288.0,5,0.0,94157.0,96055.0
efficiency_loss,0.0,2,87.0,97036.0,97597.0
Bottom Cover Stuck,2392.0,1.1,0.0,105969.0,108015.0
Camera Dirty,2496.0,4,0.0,107143.0,109040.0
efficiency_loss,0.0,4,67.0,118254.0,118998.0
efficiency_loss,0.0,1,44.0,136528.0,137525.0
efficiency_loss,0.0,2.1,77.0,145824.0,146406.0
Top Cover Stuck,2392.0,5.1,0.0,160429.0,162410.0
efficiency_loss,0.0,2.2,70.0,160485.0,160999.0
emergency_order,0.0,,0.0,165720.0,
efficiency_loss,0.0,5.2,76.0,174060.0,175537.0
Drill To Dull,9152.0,2.1,0.0,202107.0,208098.0
efficiency_loss,0.0,5.2,63.0,210296.0,211811.0
PLC Failure,3312.0,1,0.0,217544.0,220369.0
emergency_order,0.0,,0.0,220650.0,
efficiency_loss,0.0,6,18.0,228797.0,229179.0
Camera Dirty,2496.0,4.1,0.0,230148.0,231686.0
emergency_order,0.0,,0.0,244744.0,
emergency_order,0.0,,0.0,259110.0,
Top Cover Stuck,2392.0,5,0.0,273925.0,275924.0
emergency_order,0.0,,0.0,293270.0,
Bottom Cover Stuck,2392.0,1,0.0,308078.0,310362.0
Top Cover Misaligned,2288.0,5.1,0.0,313181.0,314948.0
emergency_order,0.0,,0.0,316576.0,
efficiency_loss,0.0,4,23.0,317311.0,318101.0
emergency_order,0.0,,0.0,319638.0,
emergency_order,0.0,,0.0,340163.0,
PLC Failure,3312.0,4.1,0.0,355038.0,357970.0
efficiency_loss,0.0,5.1,29.0,361252.0,362576.0
emergency_order,0.0,,0.0,371225.0,
Misaligned Material,10440.0,3,0.0,404715.0,413935.0
PLC Failure,3312.0,5.2,0.0,410072.0,412879.0
Misaligned Material,10440.0,3.1,0.0,421428.0,428749.0
Drill To Dull,9152.0,2.2,0.0,432057.0,439405.0
emergency_order,0.0,,0.0,451652.0,
Top Cover Stuck,2392.0,5.2,0.0,452107.0,454154.0
emergency_order,0.0,,0.0,452698.0,
emergency_order,0.0,,0.0,482330.0,
efficiency_loss,0.0,6.1,14.0,484461.0,484853.0
efficiency_loss,0.0,1.1,35.0,494443.0,495728.0
Bottom Cover Misaligned,2288.0,1,0.0,501248.0,503066.0
emergency_order,0.0,,0.0,520821.0,
efficiency_loss,0.0,5,88.0,528225.0,529625.0
Top Cover Misaligned,2288.0,5.2,0.0,530529.0,532514.0
inspection_failure,0.0,,0.0,530885.0,
efficiency_loss,0.0,4.1,62.0,533347.0,533973.0
emergency_order,0.0,,0.0,534042.0,
efficiency_loss,0.0,5,21.0,546960.0,548078.0
inspection_failure,0.0,,0.0,547460.0,
inspection_failure,0.0,,0.0,548402.0,
PLC Failure,3312.0,5,0.0,570643.0,573666.0
