kpi_name,value
total_units_ordered,9146
produced_units_fuse0,3031
produced_units_fuse1,3024
produced_units_fuse2,3091
makespan_seconds,572830.9452
average_cycle_time_seconds,62.5066
cycle_time_from_1_over_throughput_rate_seconds,62.6319
throughput_rate_per_second,0.015966
throughput_rate_per_hour,57.4787
average_throughput_time_seconds,1901.8418
average_active_throughput_time_seconds,1901.8339
average_throughput_efficiency,0.534203
total_wait_time_seconds,4559838.3058
average_cycle_time_seconds_fuse0,187.8448
Active_average_cycle_time_seconds_fuse0,186.8489
global_average_cycle_time_seconds_fuse0,186.8489
average_cycle_time_seconds_fuse1,188.2554
Active_average_cycle_time_seconds_fuse1,187.8716
global_average_cycle_time_seconds_fuse1,187.8716
average_cycle_time_seconds_fuse2,184.6074
Active_average_cycle_time_seconds_fuse2,183.991
global_average_cycle_time_seconds_fuse2,183.991
utilization_overall_station_1_bottom_cover,0.907554
utilization_active_window_station_1_bottom_cover,0.909443
max_queue_station_1_bottom_cover,14
average_queue_station_1_bottom_cover,0.121264
average_wait_station_1_bottom_cover_seconds,23.093
availability_station_1_bottom_cover,0.986903
utilization_overall_station_1_1_bottom_cover,0.903004
utilization_active_window_station_1_1_bottom_cover,0.908138
max_queue_station_1_1_bottom_cover,18
average_queue_station_1_1_bottom_cover,0.11228
average_wait_station_1_1_bottom_cover_seconds,19.7995
availability_station_1_1_bottom_cover,0.993391
utilization_overall_station_2_drill_station,0.976136
utilization_active_window_station_2_drill_station,0.978058
max_queue_station_2_drill_station,7
average_queue_station_2_drill_station,0.278816
average_wait_station_2_drill_station_seconds,94.7907
availability_station_2_drill_station,0.986502
utilization_overall_station_2_1_drill_station,0.967898
utilization_active_window_station_2_1_drill_station,0.97366
max_queue_station_2_1_drill_station,7
average_queue_station_2_1_drill_station,0.21312
average_wait_station_2_1_drill_station_seconds,77.1859
availability_station_2_1_drill_station,0.987595
utilization_overall_station_2_2_drill_station,0.919033
utilization_active_window_station_2_2_drill_station,0.92481
max_queue_station_2_2_drill_station,7
average_queue_station_2_2_drill_station,0.155969
average_wait_station_2_2_drill_station_seconds,70.1916
availability_station_2_2_drill_station,0.985743
utilization_overall_station_3_robot_cell,0.986341
utilization_active_window_station_3_robot_cell,0.988005
max_queue_station_3_robot_cell,3
average_queue_station_3_robot_cell,0.518462
average_wait_station_3_robot_cell_seconds,288.1096
availability_station_3_robot_cell,0.987213
utilization_overall_station_3_1_robot_cell,0.978955
utilization_active_window_station_3_1_robot_cell,0.984199
max_queue_station_3_1_robot_cell,4
average_queue_station_3_1_robot_cell,0.279817
average_wait_station_3_1_robot_cell_seconds,204.0785
availability_station_3_1_robot_cell,0.988885
utilization_overall_station_3_2_robot_cell,0.973525
utilization_active_window_station_3_2_robot_cell,0.978953
max_queue_station_3_2_robot_cell,4
average_queue_station_3_2_robot_cell,0.211937
average_wait_station_3_2_robot_cell_seconds,168.3423
availability_station_3_2_robot_cell,1.0
utilization_overall_station_3_3_robot_cell,0.947232
utilization_active_window_station_3_3_robot_cell,0.952796
max_queue_station_3_3_robot_cell,3
average_queue_station_3_3_robot_cell,0.046187
average_wait_station_3_3_robot_cell_seconds,125.2878
availability_station_3_3_robot_cell,0.973765
utilization_overall_station_3_4_robot_cell,0.891524
utilization_active_window_station_3_4_robot_cell,0.897341
max_queue_station_3_4_robot_cell,4
average_queue_station_3_4_robot_cell,0.061418
average_wait_station_3_4_robot_cell_seconds,97.06
availability_station_3_4_robot_cell,1.0
utilization_overall_station_4_inspection,0.962005
utilization_active_window_station_4_inspection,0.96384
max_queue_station_4_inspection,10
average_queue_station_4_inspection,0.571459
average_wait_station_4_inspection_seconds,121.3369
availability_station_4_inspection,0.994579
utilization_overall_station_4_1_inspection,0.925963
utilization_active_window_station_4_1_inspection,0.931451
max_queue_station_4_1_inspection,9
average_queue_station_4_1_inspection,0.243604
average_wait_station_4_1_inspection_seconds,78.4006
availability_station_4_1_inspection,0.995718
utilization_overall_station_5_top_cover,0.908805
utilization_active_window_station_5_top_cover,0.914419
max_queue_station_5_top_cover,5
average_queue_station_5_top_cover,0.095931
average_wait_station_5_top_cover_seconds,39.5818
availability_station_5_top_cover,0.989611
utilization_overall_station_5_1_top_cover,0.948083
utilization_active_window_station_5_1_top_cover,0.952431
max_queue_station_5_1_top_cover,5
average_queue_station_5_1_top_cover,0.131017
average_wait_station_5_1_top_cover_seconds,54.2448
availability_station_5_1_top_cover,0.982386
utilization_overall_station_5_2_top_cover,0.970097
utilization_active_window_station_5_2_top_cover,0.97185
max_queue_station_5_2_top_cover,5
average_queue_station_5_2_top_cover,0.341975
average_wait_station_5_2_top_cover_seconds,105.2471
availability_station_5_2_top_cover,0.991111
utilization_overall_station_6_packaging,0.912138
utilization_active_window_station_6_packaging,0.917263
max_queue_station_6_packaging,1
average_queue_station_6_packaging,0.003489
average_wait_station_6_packaging_seconds,32.9434
availability_station_6_packaging,0.999942
utilization_overall_station_6_1_packaging,0.940908
utilization_active_window_station_6_1_packaging,0.942705
max_queue_station_6_1_packaging,2
average_queue_station_6_1_packaging,0.019251
average_wait_station_6_1_packaging_seconds,36.5921
availability_station_6_1_packaging,0.9995
order_qty_fuse0,3031
order_qty_fuse1,3024
order_qty_fuse2,3091
total fitness,47117.24911128986
