station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,491660.4,0.0,516114.5,34,1.025974,121.0841,531438.0,4389,0.943532,0.952619,,
2,Station 1.1: Bottom cover,491660.4,0.0,516148.5,34,0.967646,114.3392,501834.7,4389,0.943532,0.952556,,
3,Station 2: Drill station,516963.2,151.2,517114.4,13,7.633572,1420.4506,4163340.7,2931,0.99209,1.0,,
4,Station 2.1: Drill station,517140.0,191.2,517358.8,13,9.602319,1791.1174,5251556.3,2932,0.992429,0.999947,,
5,Station 2.2: Drill station,515372.0,303.4,516425.9,13,4.332307,831.5436,2429770.5,2922,0.989036,0.998546,,
6,Station 3: Robot cell,520062.0,367.0,520487.6,10,5.395704,1730.3974,3061073.0,1769,0.998037,0.999887,,
7,Station 3.1: Robot cell,519178.4,447.0,519696.8,8,3.989211,1317.3759,2319899.0,1761,0.996341,0.999862,,
8,Station 3.2: Robot cell,519355.6,599.2,519998.0,9,4.069767,1348.2332,2376935.2,1763,0.996681,0.999917,,
9,Station 3.3: Robot cell,517833.2,603.8,518674.8,5,2.07618,757.2621,1332024.1,1759,0.99376,0.999541,,
10,Station 3.4: Robot cell,517298.0,800.6,518312.8,4,2.122496,774.7533,1353494.0,1747,0.992732,0.999586,,
11,Station 4: Inspection,515793.6,649.6,520644.2,2,0.281357,88.7384,389827.6,4393,0.989845,0.991921,,
12,Station 4.1: Inspection,514852.8,966.4,519893.4,2,0.272292,87.0356,381651.2,4385,0.98804,0.992149,,
13,Station 5: Top cover,508842.8,1300.2,519994.4,0,0.0,9.287,27099.6,2918,0.976506,0.981007,,
14,Station 5.1: Top cover,510940.4,1015.8,520618.0,0,0.0,9.7742,28638.4,2930,0.980532,0.98333,,
15,Station 5.2: Top cover,512164.0,878.2,520930.0,0,0.0,11.7045,34376.2,2937,0.98288,0.984833,,
16,Station 6: Packaging,507036.0,1448.8,520374.2,0,0.0,36.5859,160173.0,4378,0.973039,0.977088,,
17,Station 6.1: Packaging,509588.0,1092.0,521085.0,1,0.002727,37.5818,165360.0,4400,0.977936,0.97999,,
