kpi_name,value
total_units_ordered,8764
produced_units_fuse0,2909
produced_units_fuse1,2898
produced_units_fuse2,2957
makespan_seconds,521085.0
average_cycle_time_seconds,59.3264
cycle_time_from_1_over_throughput_rate_seconds,59.4574
throughput_rate_per_second,0.016819
throughput_rate_per_hour,60.5475
average_throughput_time_seconds,4226.467
average_active_throughput_time_seconds,4226.467
average_throughput_efficiency,0.241157
total_wait_time_seconds,24508491.5
average_cycle_time_seconds_fuse0,178.2964
Active_average_cycle_time_seconds_fuse0,178.2911
global_average_cycle_time_seconds_fuse0,178.2911
average_cycle_time_seconds_fuse1,179.1132
Active_average_cycle_time_seconds_fuse1,179.0867
global_average_cycle_time_seconds_fuse1,179.0867
average_cycle_time_seconds_fuse2,175.4585
Active_average_cycle_time_seconds_fuse2,175.4585
global_average_cycle_time_seconds_fuse2,175.4585
utilization_overall_station_1_bottom_cover,0.943532
utilization_active_window_station_1_bottom_cover,0.952619
max_queue_station_1_bottom_cover,34
average_queue_station_1_bottom_cover,1.025974
average_wait_station_1_bottom_cover_seconds,121.0841
availability_station_1_bottom_cover,1.0
utilization_overall_station_1_1_bottom_cover,0.943532
utilization_active_window_station_1_1_bottom_cover,0.952556
max_queue_station_1_1_bottom_cover,34
average_queue_station_1_1_bottom_cover,0.967646
average_wait_station_1_1_bottom_cover_seconds,114.3392
availability_station_1_1_bottom_cover,1.0
utilization_overall_station_2_drill_station,0.99209
utilization_active_window_station_2_drill_station,1.0
max_queue_station_2_drill_station,13
average_queue_station_2_drill_station,7.633572
average_wait_station_2_drill_station_seconds,1420.4506
availability_station_2_drill_station,1.0
utilization_overall_station_2_1_drill_station,0.992429
utilization_active_window_station_2_1_drill_station,0.999947
max_queue_station_2_1_drill_station,13
average_queue_station_2_1_drill_station,9.602319
average_wait_station_2_1_drill_station_seconds,1791.1174
availability_station_2_1_drill_station,1.0
utilization_overall_station_2_2_drill_station,0.989036
utilization_active_window_station_2_2_drill_station,0.998546
max_queue_station_2_2_drill_station,13
average_queue_station_2_2_drill_station,4.332307
average_wait_station_2_2_drill_station_seconds,831.5436
availability_station_2_2_drill_station,1.0
utilization_overall_station_3_robot_cell,0.998037
utilization_active_window_station_3_robot_cell,0.999887
max_queue_station_3_robot_cell,10
average_queue_station_3_robot_cell,5.395704
average_wait_station_3_robot_cell_seconds,1730.3974
availability_station_3_robot_cell,1.0
utilization_overall_station_3_1_robot_cell,0.996341
utilization_active_window_station_3_1_robot_cell,0.999862
max_queue_station_3_1_robot_cell,8
average_queue_station_3_1_robot_cell,3.989211
average_wait_station_3_1_robot_cell_seconds,1317.3759
availability_station_3_1_robot_cell,1.0
utilization_overall_station_3_2_robot_cell,0.996681
utilization_active_window_station_3_2_robot_cell,0.999917
max_queue_station_3_2_robot_cell,9
average_queue_station_3_2_robot_cell,4.069767
average_wait_station_3_2_robot_cell_seconds,1348.2332
availability_station_3_2_robot_cell,1.0
utilization_overall_station_3_3_robot_cell,0.99376
utilization_active_window_station_3_3_robot_cell,0.999541
max_queue_station_3_3_robot_cell,5
average_queue_station_3_3_robot_cell,2.07618
average_wait_station_3_3_robot_cell_seconds,757.2621
availability_station_3_3_robot_cell,1.0
utilization_overall_station_3_4_robot_cell,0.992732
utilization_active_window_station_3_4_robot_cell,0.999586
max_queue_station_3_4_robot_cell,4
average_queue_station_3_4_robot_cell,2.122496
average_wait_station_3_4_robot_cell_seconds,774.7533
availability_station_3_4_robot_cell,1.0
utilization_overall_station_4_inspection,0.989845
utilization_active_window_station_4_inspection,0.991921
max_queue_station_4_inspection,2
average_queue_station_4_inspection,0.281357
average_wait_station_4_inspection_seconds,88.7384
availability_station_4_inspection,1.0
utilization_overall_station_4_1_inspection,0.98804
utilization_active_window_station_4_1_inspection,0.992149
max_queue_station_4_1_inspection,2
average_queue_station_4_1_inspection,0.272292
average_wait_station_4_1_inspection_seconds,87.0356
availability_station_4_1_inspection,1.0
utilization_overall_station_5_top_cover,0.976506
utilization_active_window_station_5_top_cover,0.981007
max_queue_station_5_top_cover,0
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,9.287
availability_station_5_top_cover,1.0
utilization_overall_station_5_1_top_cover,0.980532
utilization_active_window_station_5_1_top_cover,0.98333
max_queue_station_5_1_top_cover,0
average_queue_station_5_1_top_cover,0.0
average_wait_station_5_1_top_cover_seconds,9.7742
availability_station_5_1_top_cover,1.0
utilization_overall_station_5_2_top_cover,0.98288
utilization_active_window_station_5_2_top_cover,0.984833
max_queue_station_5_2_top_cover,0
average_queue_station_5_2_top_cover,0.0
average_wait_station_5_2_top_cover_seconds,11.7045
availability_station_5_2_top_cover,1.0
utilization_overall_station_6_packaging,0.973039
utilization_active_window_station_6_packaging,0.977088
max_queue_station_6_packaging,0
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,36.5859
availability_station_6_packaging,1.0
utilization_overall_station_6_1_packaging,0.977936
utilization_active_window_station_6_1_packaging,0.97999
max_queue_station_6_1_packaging,1
average_queue_station_6_1_packaging,0.002727
average_wait_station_6_1_packaging_seconds,37.5818
availability_station_6_1_packaging,1.0
order_qty_fuse0,2909
order_qty_fuse1,2898
order_qty_fuse2,2957
