station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,571626.4497,0.0,601778.6298,34,1.55478,186.2666,960577.1079,5157,0.939856,0.949895,,
2,Station 1.1: Bottom cover,571576.2621,0.0,601821.4298,34,1.272182,154.5775,799629.4314,5173,0.939774,0.949744,,
3,Station 2: Drill station,601947.5685,151.2,602365.4,13,7.316849,1385.6777,4819386.9142,3478,0.98971,0.999557,,
4,Station 2.1: Drill station,600701.8716,191.2,602330.0067,27,8.087982,1517.7443,5278714.5017,3478,0.987661,0.997614,,
5,Station 2.2: Drill station,596133.1442,303.4,602114.0298,15,3.814912,763.718,2632535.9105,3447,0.98015,0.990566,,
6,Station 3: Robot cell,606705.8,367.0,607548.9,17,4.953926,1618.2357,3441987.2658,2127,0.997533,0.999216,,
7,Station 3.1: Robot cell,603110.0298,447.0,604591.7298,14,4.204513,1414.4876,3008615.0737,2127,0.991621,0.998287,,
8,Station 3.2: Robot cell,601812.4147,599.2,604318.1,10,2.632098,927.7745,1977087.5584,2131,0.989487,0.996842,,
9,Station 3.3: Robot cell,598674.8818,603.8,603290.6067,6,1.28066,521.1362,1104808.698,2120,0.984329,0.993343,,
10,Station 3.4: Robot cell,589387.8197,800.6,603265.2264,6,1.137881,478.2003,988439.9471,2067,0.969059,0.978294,,
11,Station 4: Inspection,598721.7993,649.6,607705.5,12,3.134196,427.7764,2215453.8533,5179,0.984406,0.986271,,
12,Station 4.1: Inspection,588426.8174,966.4,607387.5,7,0.674414,133.926,679942.3576,5077,0.967479,0.970327,,
13,Station 5: Top cover,578320.6975,1300.2,607049.7,2,0.078153,47.2837,159724.4888,3378,0.950863,0.954719,,
14,Station 5.1: Top cover,591978.8888,1015.8,608011.3,6,0.334487,106.48,369272.5837,3468,0.973319,0.975261,,
15,Station 5.2: Top cover,597097.3358,878.2,607653.3,6,1.1402,265.9084,929349.7832,3495,0.981735,0.98405,,
16,Station 6: Packaging,578079.5713,1448.8,608206.3,3,0.029939,38.3633,194770.59,5077,0.950466,0.952736,,
17,Station 6.1: Packaging,587829.2825,1092.0,607808.3,3,0.058482,45.1355,233079.7929,5164,0.966497,0.96887,,
