material,requested_for_full_order,available_at_start,consumed_for_produced_units,remaining_after_run,unmet_for_full_order
Bottom cover,10048,100000,10048,89952,0
Fuse,10085,100000,10085,89915,0
PCB,10048,100000,10048,89952,0
Top cover,10048,100000,10048,89952,0
